pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt1_cam3_X,pt1_cam3_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,39.010830,292.647059,NaN,NaN
NaN,NaN,88.858702,307.734486,158.411710,147.976423
NaN,NaN,134.470597,316.422577,206.558313,197.794698
NaN,NaN,173.108500,321.848042,251.465005,232.541968
NaN,NaN,208.917603,324.266747,278.327673,253.124092
NaN,NaN,239.884124,324.345862,305.572099,267.933826
NaN,NaN,268.687143,323.865654,326.279230,276.188522
NaN,NaN,293.230539,321.177944,343.208424,281.857321
111.726160,159.936286,314.654029,315.789442,358.110254,281.846810
150.362181,166.988034,335.112675,311.030625,372.145877,281.468554
189.969113,169.507504,354.642271,303.992195,382.519044,278.517629
226.831823,171.948247,372.287037,296.517993,392.748239,273.060121
264.233263,172.079083,387.994256,287.960339,401.981000,267.378967
300.388244,170.486050,402.989478,278.923702,411.251623,260.352095
334.307012,165.951679,417.390254,269.452157,417.947885,252.054382
367.641869,159.569649,430.843089,258.135349,425.551654,242.998534
399.788197,151.880099,442.855300,246.918849,432.205283,232.408668
432.117708,142.467871,455.506697,235.592584,438.912760,222.076874
459.735462,130.818760,466.986185,223.187535,444.735129,210.412685
487.032400,117.217301,478.177823,209.289353,450.340289,198.031096
513.949337,104.634750,488.189098,195.790377,456.377562,185.800972
539.217362,89.731020,498.592729,181.292376,460.555895,173.144143
561.540019,73.485741,NaN,NaN,465.928069,159.545807
582.198959,57.329762,NaN,NaN,470.159088,145.816383
NaN,NaN,526.119172,137.161676,474.090527,131.423223
NaN,NaN,535.305889,120.172716,478.305063,117.902524
NaN,NaN,543.275345,104.482969,482.396872,104.284568
NaN,NaN,NaN,NaN,486.837761,89.362302
