frame,oid,cid,x,y
0,1,1,0.0148,0.0087
1,1,1,0.0148,0.0087
2,1,1,0.0148,0.0086
3,1,1,0.0148,0.0086
4,1,1,0.0148,0.0086
5,1,1,0.0148,0.0086
6,1,1,0.0148,0.0086
7,1,1,0.0148,0.0086
8,1,1,0.0148,0.0086
9,1,1,0.0148,0.0086
10,1,1,0.0148,0.0086
11,1,1,0.0148,0.0086
12,1,1,0.0148,0.0086
13,1,1,0.0148,0.0086
14,1,1,0.0148,0.0086
15,1,1,0.0148,0.0086
16,1,1,0.0148,0.0086
17,1,1,0.0148,0.0086
18,1,1,0.0148,0.0086
19,1,1,0.0148,0.0086
20,1,1,0.0148,0.0086
21,1,1,0.0148,0.0086
22,1,1,0.0148,0.0086
23,1,1,0.0148,0.0086
24,1,1,0.0148,0.0086
25,1,1,0.0149,0.0086
26,1,1,0.0149,0.0086
27,1,1,0.0149,0.0086
28,1,1,0.0149,0.0086
29,1,1,0.0149,0.0086
30,1,1,0.0149,0.0086
31,1,1,0.015,0.0086
32,1,1,0.015,0.0086
33,1,1,0.015,0.0086
34,1,1,0.015,0.0086
35,1,1,0.015,0.0087
36,1,1,0.015,0.0087
37,1,1,0.015,0.0087
38,1,1,0.015,0.0087
39,1,1,0.015,0.0087
40,1,1,0.0151,0.0087
41,1,1,0.0151,0.0087
42,1,1,0.0151,0.0087
43,1,1,0.0151,0.0087
44,1,1,0.0151,0.0087
45,1,1,0.0151,0.0087
46,1,1,0.0151,0.0087
47,1,1,0.0151,0.0087
48,1,1,0.0151,0.0087
49,1,1,0.0151,0.0087
50,1,1,0.0151,0.0087
51,1,1,0.0151,0.0087
52,1,1,0.0151,0.0087
53,1,1,0.0151,0.0087
54,1,1,0.0151,0.0086
55,1,1,0.0151,0.0086
56,1,1,0.0151,0.0086
57,1,1,0.0151,0.0086
58,1,1,0.0151,0.0086
59,1,1,0.0151,0.0086
60,1,1,0.0151,0.0086
61,1,1,0.0151,0.0086
62,1,1,0.0151,0.0086
63,1,1,0.0151,0.0086
64,1,1,0.0151,0.0086
65,1,1,0.0151,0.0086
66,1,1,0.0151,0.0086
67,1,1,0.0151,0.0086
68,1,1,0.0151,0.0086
69,1,1,0.0151,0.0086
70,1,1,0.0151,0.0086
71,1,1,0.0151,0.0086
72,1,1,0.0151,0.0086
73,1,1,0.0152,0.0086
74,1,1,0.0152,0.0086
75,1,1,0.0152,0.0086
76,1,1,0.0152,0.0086
77,1,1,0.0152,0.0086
78,1,1,0.0152,0.0086
79,1,1,0.0152,0.0086
80,1,1,0.0152,0.0086
81,1,1,0.0152,0.0086
82,1,1,0.0152,0.0086
83,1,1,0.0152,0.0086
84,1,1,0.0153,0.0086
85,1,1,0.0153,0.0086
86,1,1,0.0153,0.0086
87,1,1,0.0153,0.0087
88,1,1,0.0153,0.0087
89,1,1,0.0153,0.0087
90,1,1,0.0153,0.0087
91,1,1,0.0153,0.0087
92,1,1,0.0153,0.0087
93,1,1,0.0153,0.0087
94,1,1,0.0153,0.0087
95,1,1,0.0153,0.0087
96,1,1,0.0153,0.0087
97,1,1,0.0153,0.0087
98,1,1,0.0153,0.0087
99,1,1,0.0153,0.0087
100,1,1,0.0153,0.0087
101,1,1,0.0153,0.0087
