frame,oid,cid,x,y
4956,0,0,1525.125,2.1244965
4957,0,0,1521.5167,8.559337
4958,0,0,1518.2972,16.382635
4959,0,0,1513.0995,24.174793
4960,0,0,1510.0615,30.15933
4961,0,0,1507.0216,36.2245
4962,0,0,1503.9371,41.419422
4963,0,0,1500.8595,46.636295
4964,0,0,1497.8988,52.29289
4965,0,0,1494.624,57.98229
4966,0,0,1491.4825,63.904682
4967,0,0,1488.1747,69.88184
4968,0,0,1484.1691,77.02762
4969,0,0,1480.7075,84.25315
4970,0,0,1477.7435,89.70588
4971,0,0,1474.8163,95.29409
4972,0,0,1471.7941,100.15261
4973,0,0,1468.6857,104.9476
4974,0,0,1465.4281,109.90854
4975,0,0,1462.3542,115.09556
4976,0,0,1459.3583,120.54241
4977,0,0,1456.3182,126.02529
4978,0,0,1453.2592,131.51501
4979,0,0,1450.4684,137.23117
4980,0,0,1446.7383,144.99858
4981,0,0,1444.2046,149.90971
4982,0,0,1441.6329,154.17003
4983,0,0,1438.9463,158.45935
4984,0,0,1435.9231,162.7509
4985,0,0,1432.832,167.41216
4986,0,0,1429.9944,172.4795
4987,0,0,1427.3042,177.73758
4988,0,0,1426.3043,184.16318
4989,0,0,1423.2012,190.11395
4990,0,0,1419.583,195.15273
4991,0,0,1417.1293,198.72339
4992,0,0,1414.6694,202.33669
4993,0,0,1411.9684,206.18782
4994,0,0,1409.5444,210.55179
4995,0,0,1407.2417,215.19868
4996,0,0,1405.6299,220.59534
4997,0,0,1404.5771,227.08687
4998,0,0,1400.2491,231.3649
4999,0,0,1397.968,234.7365
5000,0,0,1395.8218,238.16713
5001,0,0,1393.4716,241.22781
5002,0,0,1391.5093,245.25829
5003,0,0,1389.1633,248.95644
5004,0,0,1386.0946,253.7273
5005,0,0,1384.1926,261.5494
5006,0,0,1378.5092,263.36386
5007,0,0,1382.2974,270.3521
5008,0,0,1380.754,275.51892
5009,0,0,1378.6008,277.81238
5010,0,0,1373.1178,276.78192
5011,0,0,1371.7759,279.88983
5012,0,0,1370.2992,282.83844
5013,0,0,1367.5598,286.7749
5014,0,0,1364.6666,290.75238
5015,0,0,1362.7227,294.13202
5016,0,0,1363.4388,300.79337
5017,0,0,1361.0887,304.1747
5018,0,0,1359.4457,307.82318
5019,0,0,1355.048,308.4612
5020,0,0,1352.4722,310.3196
5021,0,0,1350.0841,312.48267
5022,0,0,1347.8057,315.7959
5023,0,0,1345.3131,319.67606
5024,0,0,1343.43,323.835
5025,0,0,1342.9142,328.65585
5026,0,0,1338.9021,330.66928
5027,0,0,1337.2423,332.5296
5028,0,0,1334.9736,333.60043
5029,0,0,1332.2871,334.7911
5030,0,0,1329.3807,338.1325
5031,0,0,1328.8955,340.78946
5032,0,0,1326.8619,342.23828
5033,0,0,1327.3639,347.2848
5034,0,0,1323.5494,350.98273
5035,0,0,1320.4807,354.08295
5036,0,0,1317.8751,356.88174
5037,0,0,1315.9528,358.79007
5038,0,0,1311.0084,361.87814
5039,0,0,1311.6919,364.18546
5040,0,0,1303.9081,365.01303
5041,0,0,1299.9524,376.06015
5042,0,0,1299.5306,376.7201
5043,0,0,1299.2551,377.2996
5044,0,0,1299.1023,377.79102
5045,0,0,1298.9805,378.18726
5046,0,0,1298.9086,378.47177
5047,0,0,1298.981,378.59778
5048,0,0,1296.9601,383.78748
5049,0,0,1296.8639,384.29712
5050,0,0,1296.765,384.80008
5051,0,0,1296.6315,385.29202
5052,0,0,1296.6315,385.29202
5053,0,0,1296.6315,385.29202
5054,0,0,1296.6315,385.29202
5055,0,0,1296.5957,385.22968
5056,0,0,1296.6711,385.18524
5057,0,0,1294.947,382.79413
5058,0,0,1294.4598,382.66125
5059,0,0,1294.0687,382.63766
5060,0,0,1293.6595,382.78183
5061,0,0,1293.6798,382.64404
5062,0,0,1293.608,382.58875
5063,0,0,1293.5692,382.55594
5064,0,0,1293.54,382.57904
5065,0,0,1293.5222,382.69888
5066,0,0,1293.4635,383.1769
5067,0,0,1293.5336,383.15796
5068,0,0,1293.3063,383.86298
5069,0,0,1293.0032,383.56894
5070,0,0,1292.891,383.62097
5071,0,0,1292.7911,383.62695
5072,0,0,1292.7073,383.49377
5073,0,0,1292.7313,383.218
5074,0,0,1292.6793,383.10178
5075,0,0,1292.7314,383.02606
