frame,oid,cid,x,y
0.0,0.0,0,1301.9554,524.28015
1.0,0.0,0,1298.8754,447.8272
2.0,0.0,0,1298.4478,393.45227
3.0,0.0,0,1323.3274,341.194
4.0,0.0,0,1342.8313,305.26498
5.0,0.0,0,1365.0029,279.76447
6.0,0.0,0,1371.2705,334.9638
7.0,0.0,0,1415.6415,377.5371
8.0,0.0,0,1439.4705,396.53702
9.0,0.0,0,1415.4984,415.19247
10.0,0.0,0,1436.3706,448.32162
11.0,0.0,0,1500.3701,489.73166
12.0,0.0,0,1554.1094,486.4802
13.0,0.0,0,1567.4304,531.80005
14.0,0.0,0,1625.6627,563.47784
15.0,0.0,0,1676.1901,614.865
16.0,0.0,0,1698.8656,632.3868
17.0,0.0,0,1684.0724,672.499
18.0,0.0,0,1699.8582,673.50543
19.0,0.0,0,1693.4037,686.0445
20.0,0.0,0,1633.6279,740.9832
21.0,0.0,0,1585.3562,752.3138
22.0,0.0,0,1573.8774,794.219
23.0,0.0,0,1526.1278,753.8959
24.0,0.0,0,1490.2296,701.9661
25.0,0.0,0,1446.3892,692.7929
26.0,0.0,0,1388.6531,659.16974
27.0,0.0,0,1339.6545,646.8752
28.0,0.0,0,1300.5574,606.69574
29.0,0.0,0,1278.2554,570.34625
30.0,0.0,0,1282.9493,535.6237
31.0,0.0,0,1251.8915,508.6931
32.0,0.0,0,1247.9344,481.85443
33.0,0.0,0,1258.0178,434.74908
34.0,0.0,0,1214.2393,416.73135
35.0,0.0,0,1147.9227,382.04727
36.0,0.0,0,1102.5677,390.30844
37.0,0.0,0,1039.8274,397.53397
38.0,0.0,0,1005.9172,364.5642
39.0,0.0,0,928.6475,305.92722
40.0,0.0,0,918.37,298.48462
41.0,0.0,0,892.49347,318.8914
42.0,0.0,0,839.3008,351.8188
43.0,0.0,0,811.7082,382.20557
44.0,0.0,0,747.6058,389.60922
45.0,0.0,0,682.5635,409.7198
46.0,0.0,0,607.4403,413.34387
47.0,0.0,0,595.7646,422.76578
48.0,0.0,0,536.6808,451.90204
49.0,0.0,0,491.00388,458.77158
50.0,0.0,0,529.4082,525.4659
51.0,0.0,0,540.04956,573.7654
52.0,0.0,0,560.67816,593.0905
53.0,0.0,0,604.8586,647.6716
54.0,0.0,0,608.4746,639.9076
55.0,0.0,0,638.1719,644.92053
56.0,0.0,0,659.9066,656.40466
57.0,0.0,0,710.83594,677.04156
58.0,0.0,0,734.7454,738.8047
59.0,0.0,0,766.7948,798.25116
60.0,0.0,0,807.6067,758.73303
61.0,0.0,0,804.3095,721.8686
62.0,0.0,0,823.7135,703.2218
63.0,0.0,0,881.70984,666.2326
64.0,0.0,0,951.3708,617.4565
65.0,0.0,0,997.9899,558.57025
66.0,0.0,0,1017.5837,508.2752
67.0,0.0,0,1051.5085,488.2044
68.0,0.0,0,1048.1769,438.47586
69.0,0.0,0,1077.1207,415.52066
70.0,0.0,0,1112.9631,390.36807
71.0,0.0,0,1106.9287,343.2321
72.0,0.0,0,1164.7642,310.0602
73.0,0.0,0,1186.5878,272.85092
74.0,0.0,0,1244.0214,273.9632
75.0,0.0,0,1289.4982,315.6417
76.0,0.0,0,1341.9166,331.4066
77.0,0.0,0,1389.0161,366.05942
78.0,0.0,0,1402.9681,443.17206
79.0,0.0,0,1410.7247,446.39948
80.0,0.0,0,1417.1095,499.09988
81.0,0.0,0,1443.7766,505.89655
82.0,0.0,0,1465.6099,512.6927
83.0,0.0,0,1466.689,520.54156
84.0,0.0,0,1459.3729,535.39087
85.0,0.0,0,1495.7229,583.60474
86.0,0.0,0,1513.1062,628.1464
87.0,0.0,0,1562.972,647.5232
88.0,0.0,0,1595.7722,660.4016
89.0,0.0,0,1666.4995,676.1396
90.0,0.0,0,1657.9816,711.64545
91.0,0.0,0,1687.1829,737.98114
92.0,0.0,0,1682.1238,798.9326
93.0,0.0,0,1666.0719,784.5654
94.0,0.0,0,1637.0062,752.85736
95.0,0.0,0,1585.52,716.25464
96.0,0.0,0,1547.7704,654.4375
97.0,0.0,0,1495.0182,646.16516
98.0,0.0,0,1444.3184,599.6792
99.0,0.0,0,1399.9896,600.732
100.0,0.0,0,1363.3091,569.7994
101.0,0.0,0,1315.4069,567.615
102.0,0.0,0,1313.5756,513.9881
103.0,0.0,0,1291.4419,506.28928
104.0,0.0,0,1295.4608,485.56253
105.0,0.0,0,1296.4147,473.97964
106.0,0.0,0,1261.0591,454.01328
107.0,0.0,0,1234.3517,394.0374
108.0,0.0,0,1190.6677,351.6662
109.0,0.0,0,1164.0509,304.22784
110.0,0.0,0,1124.6232,275.1728
111.0,0.0,0,1089.511,238.64047
112.0,0.0,0,1058.2307,243.65982
113.0,0.0,0,1037.7869,276.8465
114.0,0.0,0,963.5851,342.9969
115.0,0.0,0,935.5809,406.1006
116.0,0.0,0,883.86426,450.92377
117.0,0.0,0,835.623,481.78452
118.0,0.0,0,830.4848,478.84473
119.0,0.0,0,773.7342,535.4657
120.0,0.0,0,771.60486,558.3336
121.0,0.0,0,762.61005,637.03125
122.0,0.0,0,718.9777,676.3482
123.0,0.0,0,664.5918,711.41095
124.0,0.0,0,614.409,721.9764
125.0,0.0,0,601.6511,746.4458
126.0,0.0,0,522.49603,814.754
127.0,0.0,0,512.4841,847.11005
128.0,0.0,0,517.43304,825.78314
129.0,0.0,0,473.96872,762.1049
130.0,0.0,0,518.55176,711.7228
131.0,0.0,0,564.12396,647.386
132.0,0.0,0,629.91364,604.0291
133.0,0.0,0,688.131,547.5161
134.0,0.0,0,727.62415,502.7875
135.0,0.0,0,736.9138,453.04883
136.0,0.0,0,767.447,433.0243
137.0,0.0,0,810.9047,411.5452
138.0,0.0,0,823.65753,375.02127
139.0,0.0,0,825.511,309.77762
140.0,0.0,0,876.60394,291.97876
141.0,0.0,0,908.4079,277.37833
142.0,0.0,0,929.5088,298.42993
143.0,0.0,0,970.7589,348.09357
144.0,0.0,0,1000.96466,405.19122
145.0,0.0,0,1009.2106,462.8663
146.0,0.0,0,1089.291,525.791
147.0,0.0,0,1121.967,558.1182
148.0,0.0,0,1168.5437,561.26324
149.0,0.0,0,1207.0461,620.4853
150.0,0.0,0,1233.9691,635.64825
151.0,0.0,0,1250.9393,696.74664
152.0,0.0,0,1306.1915,743.17206
153.0,0.0,0,1383.9346,809.1716
154.0,0.0,0,1387.961,824.6292
155.0,0.0,0,1387.2485,811.1141
156.0,0.0,0,1404.1047,800.1875
157.0,0.0,0,1430.3395,731.4855
158.0,0.0,0,1424.3025,691.7464
159.0,0.0,0,1443.6106,676.25305
160.0,0.0,0,1494.0293,640.5106
161.0,0.0,0,1545.9126,598.1129
162.0,0.0,0,1558.7024,570.71295
163.0,0.0,0,1596.5426,522.7084
164.0,0.0,0,1638.0825,501.81396
165.0,0.0,0,1623.1666,464.74155
166.0,0.0,0,1640.886,431.18246
167.0,0.0,0,1617.1471,431.4504
168.0,0.0,0,1624.451,397.91446
169.0,0.0,0,1611.0901,390.01392
170.0,0.0,0,1580.0433,358.98627
171.0,0.0,0,1573.1647,337.61542
172.0,0.0,0,1534.7092,286.94757
173.0,0.0,0,1494.9352,335.91495
174.0,0.0,0,1435.8771,372.7286
175.0,0.0,0,1426.7861,402.05585
176.0,0.0,0,1404.2673,426.26678
177.0,0.0,0,1385.8204,452.4484
178.0,0.0,0,1314.2565,509.20236
179.0,0.0,0,1310.4656,537.09595
180.0,0.0,0,1271.1045,542.0861
181.0,0.0,0,1248.1382,555.0101
182.0,0.0,0,1217.4764,606.3529
183.0,0.0,0,1226.4758,620.7848
184.0,0.0,0,1177.1426,642.14496
185.0,0.0,0,1179.5173,654.3644
186.0,0.0,0,1144.0833,702.0549
187.0,0.0,0,1132.2573,715.92676
188.0,0.0,0,1116.9854,736.45264
189.0,0.0,0,1031.4979,760.5978
190.0,0.0,0,994.59235,817.8029
191.0,0.0,0,929.4207,773.7959
192.0,0.0,0,882.4419,758.90955
193.0,0.0,0,881.9882,706.6913
194.0,0.0,0,878.4327,689.4671
195.0,0.0,0,871.68164,660.48517
196.0,0.0,0,851.07446,621.20245
197.0,0.0,0,833.24146,589.1524
198.0,0.0,0,776.90564,590.7155
199.0,0.0,0,737.1409,531.33795
200.0,0.0,0,689.6549,524.99603
201.0,0.0,0,689.85516,462.47617
202.0,0.0,0,669.8292,415.15378
203.0,0.0,0,597.36334,366.40292
204.0,0.0,0,556.4379,324.72943
205.0,0.0,0,552.76404,276.42432
206.0,0.0,0,554.6174,238.04361
207.0,0.0,0,562.2816,246.30536
208.0,0.0,0,524.9996,301.89322
209.0,0.0,0,559.0549,314.6526
210.0,0.0,0,589.6691,335.44196
211.0,0.0,0,624.45374,324.53708
212.0,0.0,0,641.54865,330.06137
213.0,0.0,0,657.54407,389.0713
214.0,0.0,0,731.55396,449.00778
215.0,0.0,0,812.195,459.38293
216.0,0.0,0,831.0668,522.0514
217.0,0.0,0,876.8342,547.3135
218.0,0.0,0,867.19,557.48236
219.0,0.0,0,863.8579,611.56354
220.0,0.0,0,860.15125,609.507
221.0,0.0,0,919.01843,621.93506
222.0,0.0,0,940.7291,634.6398
223.0,0.0,0,975.14343,629.96497
224.0,0.0,0,1036.5242,657.954
225.0,0.0,0,1094.0308,705.7268
226.0,0.0,0,1154.573,772.09875
227.0,0.0,0,1218.4205,815.9625
228.0,0.0,0,1288.8083,767.10443
229.0,0.0,0,1307.1096,710.09937
230.0,0.0,0,1340.2677,669.3963
231.0,0.0,0,1402.8114,660.7626
232.0,0.0,0,1373.4691,652.5551
233.0,0.0,0,1383.747,634.53094
234.0,0.0,0,1392.3892,573.1831
235.0,0.0,0,1420.1665,570.1358
236.0,0.0,0,1438.064,545.6561
237.0,0.0,0,1471.7002,506.21408
238.0,0.0,0,1469.6953,487.95004
239.0,0.0,0,1514.4731,439.26434
240.0,0.0,0,1548.0537,380.16647
241.0,0.0,0,1586.8041,343.87045
