,Unnamed: 0,Frame,patternID,RX,RY,RZ,RW,X,Y,Z
0,29989,2500,ST01a.vsk,-0.223398189231099,-0.018936806816066003,-0.969998816803933,0.0940050094135833,953.491283041076,-3070.5458254418104,128.000629652129
12,30001,2501,ST01a.vsk,-0.21671787785849103,-0.0127411300844549,-0.971976336217711,0.09018329586724698,952.176295822118,-3069.9132592889696,128.29657196018601
24,30013,2502,ST01a.vsk,-0.20481675752758202,-0.0203837486437774,-0.974314994251823,0.0913503727588721,950.9436725530239,-3069.04907040135,128.99594034823602
36,30025,2503,ST01a.vsk,-0.20150466455691896,-0.0285319049406098,-0.974598167431091,0.0934891041898606,949.5461177274491,-3068.2803220644396,130.034879616549
48,30037,2504,ST01a.vsk,-0.192227670806155,-0.0424472135972878,-0.974637828518288,0.10643241919369999,948.431305424632,-3067.49586800089,130.748071308329
60,30049,2505,ST01a.vsk,-0.184330298510672,-0.046374104514865996,-0.9760659591353421,0.105674154354862,947.7118628645329,-3066.9294613800503,131.021577549804
72,30061,2506,ST01a.vsk,-0.18707451518842702,-0.0314927568662001,-0.9774756805331708,0.0924804087263628,947.013982727686,-3066.81732019541,130.659789570411
84,30073,2507,ST01a.vsk,-0.16441915948688302,-0.0471907001937891,-0.9799422401327759,0.102237878559779,946.263653377101,-3067.11824037852,130.389806806167
96,30085,2508,ST01a.vsk,-0.17428530569256398,-0.0524384309078913,-0.977591266819301,0.105783544193805,945.624425222122,-3067.85644470193,130.140237800181
108,30097,2509,ST01a.vsk,-0.183966607756856,-0.0567902301738849,-0.9762576975222741,0.0992575690602008,944.819182952141,-3068.71740990077,130.273483354994
120,30109,2510,ST01a.vsk,-0.181075001889816,-0.056670552909428996,-0.9763526492742479,0.10361368818210902,943.930174267111,-3069.9387520125397,129.821999994468
132,30121,2511,ST01a.vsk,-0.16795624369874998,-0.0431431010786465,-0.979107352459713,0.10619870710726802,942.508442882279,-3071.7803716166,129.19604262205098
144,30133,2512,ST01a.vsk,-0.167395630195066,-0.0241293745717277,-0.9796541023831139,0.108047748511059,941.1770221991341,-3074.03000138123,129.412728111875
156,30145,2513,ST01a.vsk,-0.157005465068547,-0.0266743677533082,-0.9796902091870842,0.12183946842685,939.1620028596319,-3077.38008896153,129.033374008902
168,30157,2514,ST01a.vsk,-0.125921047830652,0.00946941431465427,-0.9847699798192758,0.11950860534920299,937.070576718563,-3080.8609411026,128.808174422105
180,30169,2515,ST01a.vsk,-0.13197048015844,0.0016832346394144,-0.983842972870968,0.12097092138325999,935.1070234721781,-3084.10999237331,128.49159426989
192,30181,2516,ST01a.vsk,-0.119084251033253,0.008791647642580709,-0.9857563657854108,0.118431564209536,933.5435131380949,-3086.96911272499,127.95890114957199
204,30193,2517,ST01a.vsk,-0.10879072260111,0.0247498929739172,-0.987500347751449,0.11133321456095,932.4594224951101,-3089.6544623723803,127.994635775462
216,30205,2518,ST01a.vsk,-0.126903636075727,-0.0237609011423711,-0.9846707495795451,0.11727916119293699,931.867788484263,-3092.40433976172,128.085027871862
228,30217,2519,ST01a.vsk,-0.13279256783947,-0.0110063809999284,-0.9849915671592149,0.10971146762813301,930.601598709978,-3094.87540858857,127.976752209653
240,30229,2520,ST01a.vsk,-0.11328084994059,0.0225398889201103,-0.9877669072171509,0.10476611785720899,929.020605160432,-3096.9952825940995,127.747765198086
252,30241,2521,ST01a.vsk,-0.0850175191352396,0.0586069352152966,-0.989164226061941,0.104361786416486,927.457882599849,-3098.7440265074297,128.035556213272
264,30253,2522,ST01a.vsk,-0.09442545844711801,0.0322204812706461,-0.9899151375845321,0.100566862160145,926.344304647449,-3099.19020623218,128.790585923284
276,30265,2523,ST01a.vsk,-0.0896234847844093,0.0421752793663576,-0.9897312764504219,0.10305764018881,925.403578102284,-3099.28524051862,128.810093569444
288,30277,2524,ST01a.vsk,-0.0912253415630084,0.009058049723293509,-0.989999363426626,0.10722476023194401,924.2250017783199,-3098.8749588231603,129.362324672698
300,30289,2525,ST01a.vsk,-0.0844841214732354,0.0180050784021292,-0.9912134674415619,0.100170416456675,923.4881431649691,-3098.1280868698605,129.161075727415
312,30301,2526,ST01a.vsk,-0.10228039451533802,0.0149914426169189,-0.989067285685929,0.105165973260932,923.283603876902,-3097.20828496201,129.660983046307
324,30313,2527,ST01a.vsk,-0.10557307732299302,0.0093872307210074,-0.9891737288904008,0.10149649903816599,923.3361548465649,-3095.9743669830104,129.082212627953
336,30325,2528,ST01a.vsk,-0.102140144058825,-0.01585512286491,-0.988302422425423,0.11213531057887699,922.599651188132,-3093.8456410840804,128.242513031369
348,30337,2529,ST01a.vsk,-0.117368210723598,-0.0339883512559574,-0.9853069339296601,0.11933038607402001,922.34489563821,-3092.06193208083,128.568318326847
360,30349,2530,ST01a.vsk,-0.0871360358626225,-0.008160386742733429,-0.987620864977785,0.130175828796624,921.377753574845,-3090.90943912797,127.483894510499
372,30361,2531,ST01a.vsk,-0.0962119002898289,-0.0131192482782646,-0.986310176682,0.133279371775063,920.999415689629,-3089.7553379482397,127.68746004444701
384,30373,2532,ST01a.vsk,-0.0917344533704892,-0.0126390018951929,-0.9860489651404141,0.13832022282164902,920.457570007134,-3088.7636649068895,127.15222742659799
396,30385,2533,ST01a.vsk,-0.0897541576736802,-0.0229442279239479,-0.985238925684343,0.143951425493546,920.017852811758,-3088.3130960353997,126.741811954858
408,30397,2534,ST01a.vsk,-0.0804968790413186,-0.0196828287095739,-0.985028592486081,0.15116716145872303,919.660185038166,-3088.16135697625,126.444369633714
420,30409,2535,ST01a.vsk,-0.0789288407050401,-0.000749303964774945,-0.985768548944052,0.14842521538223902,919.4538415113859,-3087.81036160722,126.267164358034
432,30421,2536,ST01a.vsk,-0.080412016235733,-0.00223270954195695,-0.985884863972611,0.14683309450771398,919.290968752914,-3087.52371978716,126.447733232078
444,30433,2537,ST01a.vsk,-0.082895039835036,-0.0296624879335859,-0.9852577602467429,0.146682292911956,919.023767272764,-3087.19262762568,126.27558049861901
456,30445,2538,ST01a.vsk,-0.0896063144505816,-0.0410831048711242,-0.9842749588817479,0.146579985752026,918.773258472952,-3087.01069514019,126.234874391069
