,Unnamed: 0,Frame,patternID,RX,RY,RZ,RW,X,Y,Z
1,29990,2500,ST02b.vsk,0.855974443469277,0.247798779018432,-0.24039694669735898,0.38485429095051504,2652.5815252499397,465.772004551048,104.23546371773399
13,30002,2501,ST02b.vsk,0.8570129285082572,0.240761638951107,-0.242700823252744,0.385563203601845,2652.16058721476,466.235647534297,104.31164620428001
25,30014,2502,ST02b.vsk,0.855311724001707,0.25852422755473603,-0.219065175548435,0.391940719260438,2653.29644149368,468.006220608498,104.481317800001
37,30026,2503,ST02b.vsk,0.8728218143336558,0.24378468608486398,-0.22395129231789998,0.358604135395776,2652.3335988322897,466.34672684975,104.68508560218399
49,30038,2504,ST02b.vsk,0.8738576084362509,0.239052261467927,-0.224449925471721,0.358955606476461,2652.2363436069895,466.49258928162203,104.886477989979
61,30050,2505,ST02b.vsk,0.8742090694607021,0.238422382201388,-0.219418362727424,0.361619762507646,2653.00569694942,467.115335454863,104.55429114133601
73,30062,2506,ST02b.vsk,0.875283696854928,0.24630593144832,-0.21315407486614701,0.3574593382768211,2652.93186334812,467.457365139737,104.52568211769399
85,30074,2507,ST02b.vsk,0.87585285904566,0.24077385545998498,-0.216776141064821,0.35765601420012705,2653.1624449061,467.222553599156,104.368204674389
97,30086,2508,ST02b.vsk,0.8760002144437241,0.242896008343823,-0.215335348971873,0.356729366478777,2653.20149399251,467.29547203825103,104.288875916014
109,30098,2509,ST02b.vsk,0.8767034446207741,0.24345102975274105,-0.214642013852925,0.35503728281908603,2653.1923625197,467.430230440433,104.300910758978
121,30110,2510,ST02b.vsk,0.8756409609239658,0.248779496291983,-0.21208900873458603,0.355499538889773,2653.04038575917,467.707717678805,104.355163440956
133,30122,2511,ST02b.vsk,0.8745612405002031,0.24064603469246695,-0.219349244382119,0.359329975914244,2653.19957549363,467.29793908080705,104.236282217783
145,30134,2512,ST02b.vsk,0.8752510540857841,0.236222156377882,-0.22070201970757897,0.35975728436669996,2653.01413509285,467.320296177124,104.144574432988
157,30146,2513,ST02b.vsk,0.8739809494827729,0.24253509877992,-0.21796590535405,0.36031221170561895,2652.7574388079997,467.49438272411203,104.140709889165
169,30158,2514,ST02b.vsk,0.87252627195045,0.237362633720461,-0.22300319968235702,0.36417915618685104,2653.0067708353304,467.09954196867403,104.03314813093
181,30170,2515,ST02b.vsk,0.8707819506006241,0.23761510851140696,-0.22598147676108699,0.366347139849847,2652.64217418718,467.271242072986,103.980138525418
193,30182,2516,ST02b.vsk,0.870981488572223,0.233984312755731,-0.226280261928575,0.368021508896258,2652.87491169333,466.943589419838,104.01275125006501
205,30194,2517,ST02b.vsk,0.86916103238656,0.234561705427293,-0.230349696976215,0.369430539114914,2652.41318701518,467.276890175307,104.034033232391
217,30206,2518,ST02b.vsk,0.867389238106703,0.234279131901216,-0.232028506017633,0.37270896201662707,2652.33944490423,467.157942434085,104.049240059113
229,30218,2519,ST02b.vsk,0.867031847017813,0.23269995917595301,-0.232736241204813,0.374086015892394,2652.31983866462,466.88784161154297,104.024075363432
241,30230,2520,ST02b.vsk,0.863292447364527,0.23137635356426803,-0.235058158788256,0.38201936511353,2651.6030094753896,466.385847565095,104.45012329832599
253,30242,2521,ST02b.vsk,0.863873933192588,0.23086477875095499,-0.233383813399661,0.382040936452722,2652.45840558988,465.868476618151,104.40623685696501
265,30254,2522,ST02b.vsk,0.861670027190286,0.239850653052969,-0.23324560490678303,0.381566398237089,2652.30097613785,466.418104520216,104.343363077464
277,30266,2523,ST02b.vsk,0.862442981478535,0.228778666777006,-0.246717984951747,0.378130481748695,2651.85802366474,465.589354848678,103.992469608119
289,30278,2524,ST02b.vsk,0.8387920697824459,0.31848985185378703,-0.241188088249199,0.36989239519477896,2652.24878465024,469.7523714446,102.189029447899
301,30290,2525,ST02b.vsk,0.857200961619087,0.23870489135166897,-0.243689600219113,0.385800291587695,2653.02772278387,466.962553162286,103.519282645021
313,30302,2526,ST02b.vsk,0.862087270560734,0.230098494663632,-0.23245188898009603,0.387074075598274,2652.91356332716,467.426048617976,104.163066612061
325,30314,2527,ST02b.vsk,0.854224720429028,0.234272266795771,-0.232162346609849,0.40189212089182397,2652.19854756722,467.41150449083295,104.86704176998501
337,30326,2528,ST02b.vsk,0.865204640689756,0.237529064708427,-0.212396294204356,0.38715460394512496,2652.63531289175,468.28498831102206,104.845982991835
349,30338,2529,ST02b.vsk,0.844275328545932,0.24418088907780602,-0.242357859773807,0.41089844344277004,2653.09674419885,467.447131535166,104.009818645058
361,30350,2530,ST02b.vsk,0.8448815732513492,0.234928346251356,-0.25874713940047606,0.40501076178294204,2653.76358407621,466.213220245486,103.409737703118
373,30362,2531,ST02b.vsk,0.8443937514443649,0.24097388930747501,-0.252011762891008,0.406719619096875,2653.88318041713,466.652360509622,103.63218521839701
